age,ageSD,MaO18,MaO18SD
0,0,-9.66,0.1
0.019998,0.00019998,-9.58,0.1
0.0382475,0.000382475,-9.5,0.1
0.056497,0.00056497,-9.33,0.1
0.1587645,0.001587645,-9.35,0.1
0.391016,0.00391016,-9.61,0.1
0.403179,0.00403179,-8.98,0.1
0.415342,0.00415342,-9.22,0.1
0.427505,0.00427505,-9.25,0.1
0.439668,0.00439668,-9.13,0.1
0.451831,0.00451831,-9.22,0.1
0.463994,0.00463994,-9.06,0.1
0.476157,0.00476157,-9.34,0.1
0.48832,0.0048832,-9.12,0.1
0.500483,0.00500483,-9.32,0.1
0.512646,0.00512646,-9.17,0.1
0.524809,0.00524809,-9.18,0.1
0.536972,0.00536972,-9.35,0.1
0.549135,0.00549135,-9.19,0.1
0.561298,0.00561298,-9.64,0.1
0.573461,0.00573461,-9.5,0.1
0.585624,0.00585624,-9.53,0.1
0.60995,0.0060995,-9.5,0.1
0.634276,0.00634276,-9.57,0.1
0.646439,0.00646439,-9.39,0.1
0.658602,0.00658602,-9.64,0.1
0.670765,0.00670765,-9.28,0.1
0.682928,0.00682928,-9.38,0.1
0.695091,0.00695091,-8.73,0.1
0.707254,0.00707254,-9.54,0.1
0.73158,0.0073158,-9.2,0.1
0.792395,0.00792395,-8.66,0.1
0.85321,0.0085321,-9.13,0.1
0.914,0.00914,-9.21,0.1
0.9585,0.009585,-9.37,0.1
1.0029985,0.010029985,-9.16,0.1
1.023784,0.01023784,-9.05,0.1
1.0445695,0.010445695,-8.81,0.1
1.065355,0.01065355,-9.06,0.1
1.0861405,0.010861405,-9.16,0.1
1.106926,0.01106926,-9.51,0.1
1.1277115,0.011277115,-9.33,0.1
1.148497,0.01148497,-9.21,0.1
1.1692825,0.011692825,-9.34,0.1
1.190068,0.01190068,-9.08,0.1
1.2108535,0.012108535,-9.34,0.1
1.231639,0.01231639,-9.23,0.1
1.2524245,0.012524245,-9,0.1
1.27321,0.0127321,-9.33,0.1
1.2940055,0.012940055,-8.91,0.1
1.327642,0.01327642,-9.14,0.1
1.3612785,0.013612785,-9.37,0.1
1.394915,0.01394915,-9.31,0.1
1.4285515,0.014285515,-9.29,0.1
1.49427,0.0149427,-9.14,0.1
1.581565,0.01581565,-9.29,0.1
1.66886,0.0166886,-9.2,0.1
1.756155,0.01756155,-8.88,0.1
1.84345,0.0184345,-9.38,0.1
2.070417,0.02070417,-8.53,0.1
2.088024,0.02088024,-9.21,0.1
2.107615,0.02107615,-8.96,0.1
2.127206,0.02127206,-8.95,0.1
2.146797,0.02146797,-8.79,0.1
2.166388,0.02166388,-8.88,0.1
2.185979,0.02185979,-8.74,0.1
2.20557,0.0220557,-8.94,0.1
2.225161,0.02225161,-9.35,0.1
2.244752,0.02244752,-9.21,0.1
2.264343,0.02264343,-9,0.1
2.283934,0.02283934,-9.36,0.1
2.303525,0.02303525,-9.31,0.1
2.323116,0.02323116,-9.26,0.1
2.342707,0.02342707,-9.26,0.1
2.362298,0.02362298,-9.16,0.1
2.381889,0.02381889,-9.2,0.1
2.40148,0.0240148,-8.81,0.1
2.421071,0.02421071,-8.6,0.1
2.440662,0.02440662,-9.71,0.1
2.460253,0.02460253,-8.36,0.1
2.479844,0.02479844,-8.35,0.1
2.499435,0.02499435,-8.24,0.1
2.627072,0.02627072,-9.39,0.1
2.652768,0.02652768,-9.09,0.1
2.678464,0.02678464,-9.27,0.1
2.70416,0.0270416,-9.02,0.1
2.729856,0.02729856,-8.48,0.1
2.755552,0.02755552,-8.3,0.1
2.781248,0.02781248,-8.96,0.1
2.83264,0.0283264,-9.43,0.1
2.89688,0.0289688,-9.51,0.1
2.96112,0.0296112,-8.99,0.1
3.02536,0.0302536,-9.01,0.1
3.0896,0.030896,-8.72,0.1
3.15384,0.0315384,-8.83,0.1
3.21763,0.0321763,-9.04,0.1
3.3304075,0.033304075,-8.88,0.1
3.443185,0.03443185,-9.05,0.1
3.5559625,0.035559625,-10.19,0.1
3.63122,0.0363122,-9.87,0.1
3.6492025,0.036492025,-9.7,0.1
3.667185,0.03667185,-9.34,0.1
3.6851675,0.036851675,-9.45,0.1
3.70315,0.0370315,-9.33,0.1
3.7211325,0.037211325,-9.4,0.1
3.739115,0.03739115,-9.62,0.1
3.7570975,0.037570975,-9.89,0.1
3.77508,0.0377508,-9.68,0.1
3.7930625,0.037930625,-9.68,0.1
3.811045,0.03811045,-9.76,0.1
3.8290275,0.038290275,-10.08,0.1
3.84701,0.0384701,-9.64,0.1
3.8649925,0.038649925,-9.6,0.1
3.882975,0.03882975,-10.06,0.1
3.9009575,0.039009575,-9.48,0.1
3.91894,0.0391894,-9.65,0.1
3.9369225,0.039369225,-9.75,0.1
3.954905,0.03954905,-9.85,0.1
3.9728875,0.039728875,-9.76,0.1
3.99087,0.0399087,-9.8,0.1
4.0088525,0.040088525,-9.75,0.1
4.0304315,0.040304315,-9.81,0.1
4.1177945,0.041177945,-9.71,0.1
4.126345,0.04126345,-9.74,0.1
4.1348955,0.041348955,-9.98,0.1
4.143446,0.04143446,-9.88,0.1
4.1520005,0.041520005,-9.3,0.1
4.175479,0.04175479,-9.55,0.1
4.1989575,0.041989575,-10.07,0.1
4.222436,0.04222436,-10.01,0.1
4.2459145,0.042459145,-9.52,0.1
4.272913,0.04272913,-9.78,0.1
4.3052815,0.043052815,-10.11,0.1
4.33765,0.0433765,-10.22,0.1
4.3700185,0.043700185,-10.19,0.1
4.402387,0.04402387,-9.9,0.1
4.4347555,0.044347555,-10.09,0.1
4.467124,0.04467124,-10.1,0.1
4.4994925,0.044994925,-9.17,0.1
4.531861,0.04531861,-10.08,0.1
4.5642295,0.045642295,-10.06,0.1
4.596598,0.04596598,-10.1,0.1
4.629035,0.04629035,-9.47,0.1
4.67979,0.0467979,-9.58,0.1
4.730545,0.04730545,-10.13,0.1
4.7813,0.047813,-10.1,0.1
4.832055,0.04832055,-9.9,0.1
4.88281,0.0488281,-10.27,0.1
4.933565,0.04933565,-9.95,0.1
4.98432,0.0498432,-10.03,0.1
5.0096975,0.050096975,-9.9,0.1
5.035075,0.05035075,-10.03,0.1
5.0604525,0.050604525,-9.78,0.1
5.08583,0.0508583,-9.72,0.1
5.1112075,0.051112075,-10,0.1
5.136585,0.05136585,-9.65,0.1
5.1619625,0.051619625,-9.42,0.1
5.17734,0.0517734,-9.37,0.1
5.19019725,0.051901973,-10.07,0.1
5.2030545,0.052030545,-10.04,0.1
5.21591175,0.052159118,-9.48,0.1
5.228769,0.05228769,-10.09,0.1
5.24162625,0.052416263,-10.25,0.1
5.2544835,0.052544835,-10,0.1
5.26734075,0.052673408,-9.98,0.1
5.280198,0.05280198,-10.17,0.1
5.29305525,0.052930553,-9.75,0.1
5.3059125,0.053059125,-10.09,0.1
5.31876975,0.053187698,-9.95,0.1
5.331627,0.05331627,-10.05,0.1
5.34448425,0.053444843,-10.1,0.1
5.3573415,0.053573415,-10.19,0.1
5.37019875,0.053701988,-10.06,0.1
5.382984,0.05382984,-10.25,0.1
5.3894605,0.053894605,-10.15,0.1
5.395937,0.05395937,-10.26,0.1
5.4050041,0.054050041,-10.3,0.1
5.4140712,0.054140712,-10.16,0.1
5.4205477,0.054205477,-10.12,0.1
5.4270242,0.054270242,-10.33,0.1
5.4335007,0.054335007,-10.26,0.1
5.4399772,0.054399772,-9.72,0.1
5.4529302,0.054529302,-9.91,0.1
5.4594067,0.054594067,-10.29,0.1
5.4658832,0.054658832,-10.51,0.1
5.4723597,0.054723597,-9.65,0.1
5.4788362,0.054788362,-9.88,0.1
5.4853127,0.054853127,-10.41,0.1
5.4917892,0.054917892,-10.33,0.1
5.4982657,0.054982657,-10.53,0.1
5.5047422,0.055047422,-10.09,0.1
5.5112187,0.055112187,-10.19,0.1
5.5176952,0.055176952,-10.06,0.1
5.5241717,0.055241717,-10.36,0.1
5.5306482,0.055306482,-10.45,0.1
5.5371247,0.055371247,-9.98,0.1
5.5436012,0.055436012,-10.51,0.1
5.5500777,0.055500777,-10.27,0.1
5.5565542,0.055565542,-10.16,0.1
5.5630307,0.055630307,-10.11,0.1
5.5695072,0.055695072,-10.24,0.1
5.5759837,0.055759837,-10.57,0.1
5.5954132,0.055954132,-10.02,0.1
5.6213192,0.056213192,-10.42,0.1
5.6472252,0.056472252,-10.77,0.1
5.6731312,0.056731312,-10.77,0.1
5.6990372,0.056990372,-10.64,0.1
5.7249432,0.057249432,-10.17,0.1
5.7508492,0.057508492,-10.88,0.1
5.7821192,0.057821192,-10.39,0.1
5.8258202,0.058258202,-10.55,0.1
5.8695212,0.058695212,-10.38,0.1
5.9132222,0.059132222,-10.66,0.1
5.9569232,0.059569232,-10.31,0.1
6.0006242,0.060006242,-10.41,0.1
6.0443252,0.060443252,-10.56,0.1
6.0880262,0.060880262,-10.49,0.1
6.1317272,0.061317272,-10.66,0.1
6.1754282,0.061754282,-10.42,0.1
6.2191292,0.062191292,-10.36,0.1
6.2628302,0.062628302,-10.63,0.1
6.3065312,0.063065312,-10.47,0.1
6.3435498,0.063435498,-10.42,0.1
6.3761588,0.063761588,-10.15,0.1
6.4087678,0.064087678,-10.5,0.1
6.4413768,0.064413768,-10.55,0.1
6.4739858,0.064739858,-10.56,0.1
6.5065948,0.065065948,-10.5,0.1
6.5392038,0.065392038,-10.1,0.1
6.5784296,0.065784296,-10.4,0.1
6.6203926,0.066203926,-9.78,0.1
6.6623556,0.066623556,-10.17,0.1
6.7043186,0.067043186,-10.03,0.1
6.7462816,0.067462816,-10.38,0.1
6.7882446,0.067882446,-10.54,0.1
6.8302076,0.068302076,-9.91,0.1
6.8721706,0.068721706,-10.15,0.1
6.9141336,0.069141336,-10.54,0.1
6.9560966,0.069560966,-10.07,0.1
6.9980364,0.069980364,-10.32,0.1
7.0314534,0.070314534,-10.43,0.1
7.0648704,0.070648704,-10.17,0.1
7.0949457,0.070949457,-10.56,0.1
7.1283627,0.071283627,-10.91,0.1
7.1617797,0.071617797,-10.38,0.1
7.1951967,0.071951967,-10.68,0.1
7.2286137,0.072286137,-10.52,0.1
7.2620307,0.072620307,-10.61,0.1
7.2954477,0.072954477,-10.83,0.1
7.3288647,0.073288647,-10.79,0.1
7.3622817,0.073622817,-10.59,0.1
7.3956987,0.073956987,-10.92,0.1
7.4553889,0.074553889,-10.77,0.1
