age,ageSD,DHprecip,DHprecipSD
0,0.03,-59.01677927,6.628487888
0.084,0.13,-62.39940456,4.73500184
0.28,0.18,-57.41739108,3.100096826
0.475,0.16,-57.15223944,2.35577223
0.99,0.22,-59.21545315,4.674545895
1.152,0.35,-55.36874212,3.971160151
1.641,0.53,-56.22401943,2.699660311
1.802,0.55,-59.29204644,3.663977792
2.459,0.54,-76.88592968,4.694792693
2.681,0.51,-78.19646041,4.61592088
3.126,0.42,-76.77220457,8.685652927
3.353,0.36,-78.45143604,9.727835793
4.714,0.43,-76.31414446,6.885421422
5.178,0.38,-55.53728481,1.18160909
5.638,0.19,-52.70928172,3.804670853
6.126,0.34,-47.23271137,3.51213173
7.136,0.59,-49.97172737,4.144501017
7.67,0.52,-55.38370041,2.59337743
8.177,0.28,-51.96348061,5.798376686
8.398,0.16,-46.09394496,7.708739793
8.555,0.13,-41.32304256,6.959955751
8.704,0.22,-37.04078272,6.771823904
8.826,0.26,-21.04344825,8.053968995
9.317,0.36,-21.4176158,9.949049405
12.812,1.19,28.22790261,4.907751442
15.87069231,1.63,32.38257136,13.37679559
20.821,1.6,28.8609385,9.045134381
22.9985,0.72,35.78689558,0.912597926
25.0655,1.17,29.60141121,5.111573198
27.048,1.69,36.46710526,7.269959156
30.52985714,2.1,29.99447669,7.523900694
34.0393,2.47,19.31096573,2.486180736
39.8146,2.65,3.676764996,6.27436372
47.6046,2.82,1.281005066,4.045106576
54.09614286,2.54,-3.820686897,5.026344581
64.30275,2.88,-12.09404896,7.249309854
66.577,3.01,-24.65492043,6.301232856
68.12925,3.06,-6.690379087,4.945219546
69.67425,3.19,-15.85659143,10.34907329
71.0345,3.18,-34.87705722,10.24639889
71.9495,3.16,-32.44550541,10.47003735
72.637,3.21,-31.73304496,9.623562151
73.322,3.27,-25.07518804,7.85317182
73.999,3.28,-19.67480976,7.828722689
74.453,3.28,-30.91408042,5.53836259
75.1365,3.26,-40.01878829,5.661480131
75.818,3.29,-38.10564236,5.259988594
76.273,3.28,-31.06813276,6.7604766
76.73,3.3,-24.56004603,8.707862939
77.181,3.3,-31.32339067,9.076964069
77.628,3.3,-46.61881493,3.123916977
78.2655,3.32,-48.70508473,1.219608258
79.0925,3.36,-49.94834428,6.489107888
79.711,3.3,-45.10588675,4.141961838
80.748,3.29,-37.91378417,5.714439192
81.359,3.31,-40.7294142,8.99909131
82.14933333,3.34,-42.06192847,3.078373731
82.932,3.33,-43.62925074,4.743339656
83.70833333,3.33,-43.22478102,3.526556083
84.494,3.35,-40.77020281,8.035672086
