Years BP,Precip (mm/yr)
1000,0.00
2000,39.52
3000,41.72
4000,31.13
5000,26.51
6000,-15.32
7000,-52.19
8000,-85.04
9000,-109.35
10000,-127.86
11000,-132.83
12000,-147.15
13000,-159.75
14000,-160.48
15000,-127.94
16000,-70.03
17000,-39.18
18000,-9.04
19000,8.51
20000,51.21
21000,48.15
22000,19.74
23000,-4.42
24000,-37.95
25000,-93.40
26000,-118.93
27000,-136.12
28000,-159.36
29000,-188.75
30000,-210.05
31000,-228.80
32000,-231.24
33000,-234.11
34000,-227.65
35000,-225.06
36000,-200.11
37000,-194.25
38000,-159.58
39000,-126.45
40000,-86.89
41000,-70.73
42000,-29.91
43000,29.23
44000,43.12
45000,68.12
46000,80.54
47000,114.04
48000,111.82
49000,103.41
50000,80.66
51000,71.18
52000,54.91
53000,23.83
54000,20.85
55000,-51.62
56000,-107.95
57000,-135.76
58000,-153.70
59000,-177.53
60000,-190.73
61000,-198.57
62000,-221.71
63000,-220.18
64000,-207.31
65000,-203.78
66000,-177.42
67000,-128.38
68000,-101.40
69000,-54.58
70000,-37.70
71000,-8.30
72000,1.29
73000,-9.65
74000,-32.08
75000,-25.56
76000,-65.97
77000,-104.43
78000,-118.40
79000,-152.13
80000,-185.29
81000,-209.90
82000,-219.90
83000,-211.45
84000,-213.64
85000,-195.54
86000,-170.66
87000,-134.51
88000,-64.08
89000,-2.97
90000,88.31
91000,143.19
92000,184.53
93000,224.71
94000,246.98
95000,255.32
96000,245.91
97000,221.27
98000,201.19
99000,137.37
100000,60.07
101000,-61.16
102000,-129.65
103000,-182.69
104000,-214.53
105000,-253.99
106000,-261.64
107000,-276.52
108000,-271.93
109000,-251.25
110000,-222.02
111000,-171.63
112000,-139.20
113000,-58.10
114000,-3.49
115000,51.58
116000,106.46
117000,104.14
118000,135.64
119000,137.17
120000,118.37
121000,99.82
122000,35.17
123000,-34.41
124000,-94.92
125000,-144.01
126000,-152.84
127000,-164.62
128000,-168.83
129000,-151.40
130000,-159.85
131000,-149.93
132000,-85.74
133000,-34.66
134000,65.59
135000,109.97
136000,166.83
137000,205.86
138000,219.20
139000,228.68
140000,209.03
141000,164.42
142000,113.90
143000,44.46
144000,-23.94
145000,-92.70
146000,-149.06
147000,-188.40
148000,-227.83
149000,-252.19
150000,-263.65
