Time,LowCI,Median,UpCI
1000,0.00,0.00,0.00
2000,-14.16,-2.90,7.18
3000,-12.56,0.04,11.72
4000,-23.12,-13.84,0.77
5000,-23.13,-5.34,22.35
6000,-33.45,-6.71,29.52
7000,-21.61,4.53,46.71
8000,-23.51,28.19,73.56
9000,-20.83,32.88,102.99
10000,-21.39,56.85,123.14
11000,0.29,53.57,103.00
12000,1.09,56.59,102.23
13000,-6.66,28.85,77.56
14000,-4.01,26.52,74.83
15000,-20.37,22.11,76.57
16000,-22.41,28.32,86.46
17000,-36.67,19.78,64.21
18000,-54.47,4.21,46.81
19000,-39.46,16.98,58.35
20000,-46.84,6.95,52.50
21000,-47.37,9.15,57.25
22000,-51.22,-10.49,40.67
23000,-51.69,-0.67,46.55
24000,-45.51,9.23,55.05
25000,-34.54,27.22,73.82
26000,-38.19,18.08,60.81
27000,-34.18,28.25,70.93
28000,-34.70,29.59,83.86
29000,-28.31,21.57,62.50
30000,-20.23,23.66,71.72
31000,-18.62,18.91,59.07
32000,-17.71,33.68,74.08
33000,-20.98,33.83,73.35
34000,-21.03,30.92,72.06
35000,-23.48,30.94,75.25
36000,-31.80,29.20,65.73
37000,-28.51,29.52,80.01
38000,-23.33,26.06,70.72
39000,-20.45,33.73,75.88
40000,-25.71,27.73,65.38
41000,-32.02,14.35,55.75
42000,-38.10,12.83,55.12
43000,-36.26,17.14,70.07
44000,-34.51,16.45,61.08
45000,-32.80,18.41,60.05
46000,-44.02,5.19,54.78
47000,-35.77,13.46,55.43
48000,-35.68,17.99,64.82
49000,-39.47,19.36,66.77
50000,-34.73,14.97,66.81
51000,-28.08,24.28,71.59
52000,-34.81,25.78,72.21
53000,-40.11,24.36,77.33
54000,-43.29,21.02,71.25
55000,-41.57,8.40,53.65
56000,-35.78,17.29,72.51
57000,-28.28,22.74,74.73
58000,-43.36,16.90,73.23
59000,-35.96,29.39,83.16
60000,-31.36,30.02,87.35
61000,-26.26,31.65,91.90
62000,-19.90,39.41,95.81
63000,-24.92,25.51,68.12
64000,-21.22,32.47,76.71
65000,-27.12,33.88,77.78
66000,-38.85,19.53,53.73
67000,-21.36,28.13,63.99
68000,-26.77,17.77,55.32
69000,-24.99,9.80,58.89
70000,-27.42,7.08,54.65
71000,-47.20,-8.62,42.52
72000,-39.82,6.07,48.51
73000,-37.85,2.26,49.53
74000,-54.43,5.11,48.97
75000,-54.88,0.36,37.70
76000,-45.81,-1.43,38.58
77000,-44.95,2.12,42.08
78000,-43.14,3.48,44.11
79000,-32.83,13.33,62.16
80000,-28.64,27.50,77.71
81000,1.17,52.78,100.71
82000,0.40,65.18,120.28
83000,8.01,72.73,118.85
84000,0.32,46.89,97.83
85000,-4.69,41.96,88.69
86000,-9.06,36.02,80.81
87000,-23.74,15.98,56.48
88000,-30.36,12.90,45.03
89000,-30.78,7.27,46.41
90000,-31.11,13.78,54.51
91000,-28.32,19.39,72.46
92000,-19.57,29.14,69.40
93000,-31.88,9.39,40.64
94000,-42.17,-5.35,30.38
95000,-45.56,1.28,48.86
96000,-47.93,-4.70,42.24
97000,-50.01,9.58,63.18
98000,-42.27,-3.59,42.31
99000,-48.11,3.41,48.35
100000,-34.49,14.79,62.96
101000,-22.79,24.35,68.85
102000,-13.79,53.99,110.48
103000,-0.49,66.33,122.87
104000,0.64,61.41,108.00
105000,14.95,71.80,118.10
106000,5.22,64.93,117.02
107000,17.36,70.24,137.44
108000,16.45,49.92,124.40
109000,17.03,35.56,108.30
110000,10.50,28.68,111.70
111000,4.10,25.43,102.21
112000,-9.14,16.81,67.55
113000,-36.34,-3.21,44.53
114000,-33.01,8.47,67.63
115000,-33.54,14.16,70.60
116000,-52.71,1.11,44.28
117000,-95.16,-25.21,3.41
118000,-107.59,-34.49,-4.00
119000,-96.74,-32.29,12.62
120000,-64.23,-14.83,14.81
121000,-27.17,-4.81,25.68
122000,-18.89,8.78,41.24
123000,-22.22,19.50,90.20
124000,-17.65,46.77,132.58
125000,-8.72,79.31,172.28
126000,0.22,93.88,200.26
127000,-1.34,99.05,203.64
128000,2.95,113.76,222.08
129000,8.57,116.51,231.13
130000,18.08,99.79,169.59
131000,10.68,61.18,124.00
132000,-1.65,29.35,72.55
133000,-8.88,29.16,85.65
134000,-32.11,15.09,65.01
135000,-45.33,10.37,42.13
136000,-47.83,10.48,44.39
137000,-41.10,12.73,52.24
138000,-48.69,-3.44,40.45
139000,-53.39,1.59,49.02
140000,-43.43,1.87,47.68
141000,-35.06,15.68,61.65
142000,-25.43,21.07,70.67
143000,-25.58,11.68,54.75
144000,-20.80,17.21,58.21
145000,-23.38,17.40,62.75
146000,-26.37,13.98,52.50
147000,-19.18,22.38,66.94
148000,-15.75,28.39,73.23
149000,-6.70,43.44,88.54
150000,-20.35,31.56,76.72
