Time,LowCI,Median,UpCI
0,0.00,0.00,0.00
1000,-13.88,-10.88,-9.23
2000,-21.48,-18.53,-14.09
3000,-27.48,-21.05,-13.29
4000,-29.61,-15.15,-5.55
5000,-27.22,-6.24,6.09
6000,-23.48,9.05,27.11
7000,-16.94,18.29,51.84
8000,-8.56,40.92,73.59
9000,-1.17,56.74,94.83
10000,0.69,74.19,107.53
11000,7.14,79.72,119.72
12000,10.95,58.68,118.22
13000,-15.83,22.49,82.25
14000,-16.07,18.07,85.88
15000,-20.91,6.89,88.96
16000,-25.57,3.00,97.01
17000,-46.14,-3.10,106.39
18000,-61.50,-9.99,116.85
19000,-68.06,-20.31,91.68
20000,-79.38,-34.58,69.24
21000,-96.36,-52.05,50.13
22000,-111.57,-69.73,40.52
23000,-123.97,-82.31,20.48
24000,-139.45,-96.37,21.64
25000,-147.86,-106.80,20.56
26000,-149.98,-111.02,15.85
27000,-147.02,-109.10,19.90
28000,-143.29,-101.32,31.99
29000,-135.04,-93.94,33.79
30000,-128.16,-86.18,46.70
31000,-122.60,-79.57,62.81
32000,-109.24,-68.43,65.27
33000,-99.73,-60.77,63.37
34000,-93.57,-56.93,71.93
35000,-85.13,-49.28,73.31
36000,-79.23,-43.91,75.26
37000,-70.34,-37.68,72.38
38000,-61.30,-30.11,70.16
39000,-65.30,-26.65,97.91
40000,-67.87,-23.30,112.00
41000,-58.17,-15.94,108.14
42000,-56.14,-11.43,110.87
43000,-57.39,-8.95,107.12
44000,-61.76,-9.11,106.80
45000,-59.04,-9.07,95.89
46000,-54.26,-12.19,79.02
47000,-69.02,-21.24,83.05
48000,-75.76,-29.28,87.01
49000,-78.84,-33.44,97.84
50000,-82.07,-39.03,90.71
51000,-84.38,-39.28,78.33
52000,-80.58,-38.05,62.90
53000,-71.91,-35.53,57.40
54000,-71.68,-34.70,58.71
55000,-71.76,-32.62,72.48
56000,-75.01,-32.87,91.24
57000,-65.51,-26.24,77.32
58000,-54.93,-19.13,54.73
59000,-51.80,-11.51,42.10
60000,-59.63,-19.05,65.09
61000,-65.13,-25.80,81.89
62000,-64.89,-31.01,77.59
63000,-67.79,-36.56,83.00
64000,-71.11,-34.80,86.89
65000,-67.15,-33.17,74.29
66000,-66.77,-31.56,74.03
67000,-65.82,-31.70,55.74
68000,-74.84,-37.60,60.90
69000,-82.19,-46.57,37.08
70000,-87.70,-57.50,13.34
71000,-84.94,-61.84,-10.47
72000,-88.02,-71.24,-36.30
73000,-98.77,-82.97,-39.08
74000,-104.01,-84.35,-43.35
75000,-88.40,-76.13,-50.75
76000,-73.72,-63.12,-33.79
77000,-71.07,-49.46,4.74
78000,-58.41,-27.83,46.36
79000,-40.51,-1.81,76.47
80000,-22.56,27.96,103.87
81000,-11.53,44.83,137.36
82000,-0.53,64.08,147.01
83000,15.28,83.80,158.02
84000,30.13,93.41,161.41
85000,35.36,68.45,157.68
86000,27.98,68.54,172.53
87000,26.18,80.97,185.89
88000,37.81,90.63,195.45
89000,47.94,95.76,180.47
90000,46.29,92.94,168.66
91000,33.34,84.35,138.66
92000,16.00,64.66,104.95
93000,-9.27,38.09,77.20
94000,-33.56,7.83,45.56
95000,-53.58,-16.91,14.34
96000,-64.60,-28.94,-2.55
97000,-67.66,-47.95,-6.67
98000,-68.08,-46.47,-0.78
99000,-50.46,-32.60,11.43
100000,-28.40,2.51,50.43
101000,-9.41,49.18,92.41
102000,6.49,85.99,145.39
103000,17.93,119.95,191.03
104000,26.82,154.49,214.36
105000,25.84,148.22,217.28
106000,29.84,159.78,220.49
107000,33.62,110.16,187.01
108000,48.59,91.53,171.32
109000,68.49,93.96,160.03
110000,78.01,96.48,152.34
111000,83.25,100.57,136.26
112000,80.97,93.19,110.63
113000,49.94,69.70,91.05
114000,5.31,29.83,61.46
115000,-30.77,-3.87,29.53
116000,-71.67,-41.48,-7.73
117000,-98.09,-68.36,-37.92
118000,-101.98,-75.73,-55.19
119000,-86.67,-75.95,-65.74
120000,-75.44,-55.16,-42.62
121000,-55.94,-12.61,19.94
122000,-27.15,40.38,88.36
123000,0.68,110.21,171.23
124000,25.04,167.92,233.88
125000,42.86,199.21,279.11
126000,53.14,206.34,299.51
127000,58.86,202.18,303.84
128000,60.64,193.15,301.04
129000,59.33,143.43,220.61
130000,61.57,119.23,165.79
131000,68.76,109.91,155.05
132000,54.48,80.58,179.12
133000,36.64,90.46,182.16
134000,26.90,87.45,168.67
135000,6.85,75.93,155.07
136000,-18.04,53.26,132.53
137000,-47.69,23.99,102.07
138000,-76.62,-7.12,68.68
139000,-100.30,-39.00,39.42
140000,-125.74,-65.82,27.82
141000,-135.49,-85.16,17.96
142000,-139.07,-95.46,10.67
143000,-136.59,-98.59,17.13
144000,-132.69,-90.13,49.80
145000,-120.84,-79.65,61.02
146000,-109.34,-63.43,86.50
147000,-92.24,-45.57,104.29
148000,-79.97,-35.60,110.31
149000,-69.10,-27.48,108.35
150000,-63.63,-21.37,102.66
