age,ageSD,dDE,dDESD
0,0,-0.002642962,0.07982185
0.1,0.001,-0.000993402,0.07982185
0.2,0.002,0.00062165,0.07982185
0.3,0.003,0.002202194,0.07982185
0.4,0.004,0.00374823,0.07982185
0.5,0.005,0.005259758,0.07982185
0.6,0.006,0.006736778,0.078076113
0.7,0.007,0.00817929,0.076431394
0.8,0.008,0.009587294,0.074886461
0.9,0.009,0.01096079,0.073440002
1,0.01,0.012299778,0.072090623
1.1,0.011,0.013604257,0.070836869
1.2,0.012,0.014874229,0.069677231
1.3,0.013,0.016109693,0.068610167
1.4,0.014,0.017310648,0.067634117
1.5,0.015,0.018477096,0.066747525
1.6,0.016,0.021658408,0.065948859
1.7,0.017,0.024470624,0.065236635
1.8,0.018,0.027177672,0.06460944
1.9,0.019,0.029486298,0.064065953
2,0.02,0.031270098,0.063604969
2.1,0.021,0.032256042,0.063390566
2.2,0.022,0.033159066,0.063348998
2.3,0.023,0.033746587,0.063495744
2.4,0.024,0.033405804,0.063406257
2.5,0.025,0.032111437,0.063407042
2.6,0.026,0.028880574,0.063505954
2.7,0.027,0.024842755,0.063711167
2.8,0.028,0.019192032,0.064031242
2.9,0.029,0.011943574,0.064031242
3,0.03,0.003112549,0.064031242
3.1,0.031,-0.006151279,0.064031242
3.2,0.032,-0.016633633,0.064031242
3.3,0.033,-0.027731823,0.064031242
3.4,0.034,-0.039810901,0.064031242
3.5,0.035,-0.051690768,0.064031242
3.6,0.036,-0.063305693,0.064031242
3.7,0.037,-0.075137021,0.064031242
3.8,0.038,-0.086678127,0.064031242
3.9,0.039,-0.098790575,0.064031242
4,0.04,-0.11038022,0.064031242
4.1,0.041,-0.122288401,0.064031242
4.2,0.042,-0.133400748,0.064031242
4.3,0.043,-0.144127819,0.064031242
4.4,0.044,-0.154302761,0.064031242
4.5,0.045,-0.164159167,0.064031242
4.6,0.046,-0.17393063,0.064031242
4.7,0.047,-0.183607038,0.064031242
4.8,0.048,-0.192621094,0.064031242
4.9,0.049,-0.201793912,0.064031242
5,0.05,-0.21057842,0.064031242
5.1,0.051,-0.218848215,0.064031242
5.2,0.052,-0.22746486,0.064031242
5.3,0.053,-0.235931843,0.064031242
5.4,0.054,-0.244907473,0.064031242
5.5,0.055,-0.253945798,0.064031242
5.6,0.056,-0.262621094,0.064031242
5.7,0.057,-0.269696633,0.064031242
5.8,0.058,-0.276692284,0.064031242
5.9,0.059,-0.28220447,0.064031242
6,0.06,-0.287742947,0.064031242
6.1,0.061,-0.292715138,0.064031242
6.2,0.062,-0.29750632,0.064031242
6.3,0.063,-0.301534028,0.064031242
6.4,0.064,-0.30519365,0.064031242
6.5,0.065,-0.307912832,0.064031242
6.6,0.066,-0.310097078,0.064031242
6.7,0.067,-0.312318738,0.064031242
6.8,0.068,-0.314192537,0.064031242
6.9,0.069,-0.316731722,0.064031242
7,0.07,-0.318456871,0.064031242
7.1,0.071,-0.320822126,0.064031242
7.2,0.072,-0.322788957,0.064031242
7.3,0.073,-0.32528466,0.064031242
7.4,0.074,-0.327467894,0.064031242
7.5,0.075,-0.329895844,0.064031242
7.6,0.076,-0.331600769,0.064031242
7.7,0.077,-0.33259278,0.064031242
7.8,0.078,-0.334270401,0.064031242
7.9,0.079,-0.335950046,0.064031242
8,0.08,-0.336968349,0.064031242
8.1,0.081,-0.337649914,0.064031242
8.2,0.082,-0.337361715,0.064031242
8.3,0.083,-0.336301952,0.064031242
8.4,0.084,-0.333711194,0.064031242
8.5,0.085,-0.329974719,0.064031242
8.6,0.086,-0.324773991,0.064031242
8.7,0.087,-0.318377996,0.064031242
8.8,0.088,-0.310988978,0.064031242
8.9,0.089,-0.302682779,0.064031242
9,0.09,-0.294386692,0.064031242
9.1,0.091,-0.284712307,0.064031242
9.2,0.092,-0.273679846,0.064031242
9.3,0.093,-0.26132976,0.064031242
9.4,0.094,-0.246901608,0.064031242
9.5,0.095,-0.232001213,0.064031242
9.6,0.096,-0.215741733,0.064031242
9.7,0.097,-0.197970472,0.064031242
9.8,0.098,-0.178691475,0.064031242
9.9,0.099,-0.158465972,0.064031242
10,0.1,-0.137277783,0.064031242
10.1,0.101,-0.116068359,0.064031242
10.2,0.102,-0.094380625,0.064031242
10.3,0.103,-0.073115583,0.064031242
10.4,0.104,-0.052176155,0.064031242
10.5,0.105,-0.032980079,0.064031242
10.6,0.106,-0.01497927,0.064031242
10.7,0.107,0.000448984,0.064031242
10.8,0.108,0.013325918,0.064031242
10.9,0.109,0.023849732,0.064031242
11,0.11,0.031995146,0.064031242
11.1,0.111,0.035968248,0.064031242
11.2,0.112,0.0362342,0.064031242
11.3,0.113,0.032837496,0.064031242
11.4,0.114,0.026937001,0.064031242
11.5,0.115,0.018293053,0.064031242
11.6,0.116,0.008434624,0.064031242
11.7,0.117,-0.001529983,0.064031242
11.8,0.118,-0.011059763,0.064031242
11.9,0.119,-0.021158863,0.064031242
12,0.12,-0.029360906,0.064031242
12.1,0.121,-0.034734554,0.064031242
12.2,0.122,-0.037873395,0.064031242
12.3,0.123,-0.037982607,0.064031242
12.4,0.124,-0.034824553,0.064031242
12.5,0.125,-0.028875518,0.064031242
12.6,0.126,-0.018245525,0.064031242
12.7,0.127,-0.003937709,0.064031242
12.8,0.128,0.013318839,0.064031242
12.9,0.129,0.032648397,0.064031242
13,0.13,0.05399636,0.064031242
13.1,0.131,0.076340378,0.064031242
13.2,0.132,0.099225402,0.064031242
13.3,0.133,0.12203964,0.064031242
13.4,0.134,0.144581859,0.064031242
13.5,0.135,0.165683082,0.064031242
13.6,0.136,0.185152189,0.064031242
13.7,0.137,0.202240874,0.064031242
13.8,0.138,0.216621499,0.064031242
13.9,0.139,0.22659824,0.064031242
14,0.14,0.232020427,0.064031242
14.1,0.141,0.23233694,0.064031242
14.2,0.142,0.228708666,0.064031242
14.3,0.143,0.221672565,0.064031242
14.4,0.144,0.211405602,0.064031242
14.5,0.145,0.198702599,0.064031242
14.6,0.146,0.183597937,0.064031242
14.7,0.147,0.165766003,0.064031242
14.8,0.148,0.146299929,0.064031242
14.9,0.149,0.124788148,0.064031242
15,0.15,0.102951765,0.064031242
15.1,0.151,0.081417737,0.064031242
15.2,0.152,0.05956214,0.064031242
15.3,0.153,0.039147538,0.064031242
15.4,0.154,0.019464051,0.064031242
15.5,0.155,0.000809991,0.064031242
15.6,0.156,-0.017874406,0.064031242
15.7,0.157,-0.036671049,0.064031242
15.8,0.158,-0.055261402,0.064031242
15.9,0.159,-0.072926484,0.064031242
16,0.16,-0.090335727,0.064031242
16.1,0.161,-0.10720093,0.064031242
16.2,0.162,-0.123254121,0.064031242
16.3,0.163,-0.138090808,0.064031242
16.4,0.164,-0.152304581,0.064031242
16.5,0.165,-0.165141066,0.064031242
16.6,0.166,-0.176443523,0.064031242
16.7,0.167,-0.18608555,0.064031242
16.8,0.168,-0.19535949,0.064031242
16.9,0.169,-0.202841541,0.064031242
17,0.17,-0.208683386,0.064031242
