age,prcpGWcor.L
0,1
1,1
2,1.023964706
3,1.025317647
4,1.019417647
5,1.016378941
6,0.97236304
7,0.940681399
8,0.908466237
9,0.865425775
10,0.82218208
11,0.783613996
12,0.735821794
13,0.694422779
14,0.671010615
15,0.668020233
16,0.673098959
17,0.66506151
18,0.663673847
19,0.660979748
20,0.682366463
21,0.672177714
22,0.633327318
23,0.606980343
24,0.582606894
25,0.563194666
26,0.566751026
27,0.572382426
28,0.569320463
29,0.566525469
30,0.569005756
31,0.565156412
32,0.571839498
33,0.578457957
34,0.582780937
35,0.580193402
36,0.593607723
37,0.60768501
38,0.633413661
39,0.660140466
40,0.69354697
41,0.71708864
42,0.749388088
43,0.788074146
44,0.79131711
45,0.809379977
46,0.813727035
47,0.837486209
48,0.82956996
49,0.831348902
50,0.831835714
51,0.837510388
52,0.817409363
53,0.797294778
54,0.793010661
55,0.746294922
56,0.700340468
57,0.673227959
58,0.655396737
59,0.647595089
60,0.635915519
61,0.626666968
62,0.617491995
63,0.617099229
64,0.627410746
65,0.630502387
66,0.646458683
67,0.681919912
68,0.716005074
69,0.749273608
70,0.765639411
71,0.813549099
72,0.831167442
73,0.831523113
74,0.839504512
75,0.853448557
76,0.834762253
77,0.82495378
78,0.813981089
79,0.781452265
80,0.768176455
81,0.752173401
82,0.75149072
83,0.769415247
84,0.751685016
85,0.764167736
86,0.752834463
87,0.761740073
88,0.79427501
89,0.836996573
90,0.89012016
91,0.931550716
92,0.952283649
93,0.975145469
94,0.992844444
95,1.015895544
96,1.02958641
97,1.034724697
98,1.027892324
99,1.005900373
100,0.951566588
101,0.88684936
102,0.820745941
103,0.774871107
104,0.74905566
105,0.716827772
106,0.695470347
107,0.67389678
108,0.67749139
109,0.685514487
110,0.701164374
111,0.728618809
112,0.756225315
113,0.814908939
114,0.861408333
115,0.918072163
116,0.963044188
117,0.994783347
118,1.042455261
119,1.060834492
120,1.071747059
121,1.061505882
122,1.024252941
123,0.983041176
124,0.940844592
125,0.885100696
126,0.852905234
127,0.793004384
128,0.762387656
129,0.729560626
130,0.677925405
131,0.66321763
132,0.653473691
133,0.644821952
134,0.681623873
135,0.694215384
136,0.726020657
137,0.750451024
138,0.761542381
139,0.774031039
140,0.78135561
141,0.766297466
142,0.745240878
143,0.716797537
144,0.68912977
145,0.654364878
146,0.620203339
147,0.600287899
148,0.578005877
149,0.569583983
150,0.578246902
