age,ageSD,tree,pollenN
0,0.03,42.461,426
0.188,0.16,54.545,304
0.382,0.17,54.286,310
0.595,0.09,63.9,309
0.772,0.16,63.052,318
0.951,0.27,65.126,326
1.134,0.35,65.844,318
1.317,0.42,55.022,302
1.409,0.46,54.504,300
1.502,0.49,64.474,313
1.579,0.51,56.522,284
1.787,0.55,59.471,290
1.95,0.56,57.017,302
2.193,0.55,50.855,303
2.408,0.54,50.988,315
2.623,0.51,46.255,312
2.844,0.49,48.148,308
3.065,0.45,36.4,326
3.285,0.39,43.779,321
3.512,0.33,43.304,296
3.751,0.24,48.276,415
4.065,0.26,30.603,304
4.593,0.43,30.714,198
5.106,0.4,35.659,206
5.555,0.26,28.571,206
6.072,0.29,29.677,211
6.641,0.54,35.417,302
7.151,0.59,30.125,297
7.752,0.53,29.801,209
8.994,0.31,15.769,315
9.261,0.36,15.412,316
9.501,0.38,14.615,304
9.764,0.37,13.807,286
10.005,0.34,25.714,317
10.272,0.26,14.176,299
10.79,0.52,16.59,261
11.682,0.91,15.873,289
12.383,1.05,23.445,233
12.742,1.19,6.25,277
13.113,1.2,32.031,303
13.479,1.24,26.667,112
13.836,1.29,28.395,100
14.439,1.32,45.882,105
14.944,1.37,78.894,231
17.396,2.08,46.729,120
18.513,1.91,25.221,240
20.592,0.68,14.493,227
21.072,1.54,8.497,174
22.195,1.44,20.126,165
23.002,0.72,13.178,136
23.842,0.42,18.5,218
24.326,0.79,9.714,187
24.809,1.08,18.784,193
25.387,1.32,7.812,203
25.762,1.44,10.638,202
26.067,1.49,3.597,144
26.597,1.53,10.059,181
27.108,1.74,7.065,203
27.812,1.76,11.399,206
28.715,1.99,10.556,197
29.419,1.95,15.287,164
30.123,2.08,8,146
30.624,2.12,8.064,195
31.042,2.21,8.427,198
31.294,2.24,16.084,148
31.378,2.25,21.164,199
31.715,2.34,7.609,202
32.047,2.34,25.946,197
32.378,2.4,6.832,187
32.711,2.34,15.894,157
33.051,2.43,11.5,212
33.391,2.46,19.212,209
33.726,2.46,9.859,77
34.06,2.47,15.686,108
34.394,2.53,4.324,193
34.647,2.51,8.784,156
34.985,2.53,3.106,171
35.343,2.51,11.864,121
36.101,2.55,7.143,108
36.9,2.45,10,119
39.542,2.64,11.351,196
40.355,2.73,7.65,208
41.167,2.71,4.902,102
41.815,2.75,10.286,198
42.623,2.74,7.447,99
43.266,2.68,8.67,195
44.411,2.66,11.429,37
46.749,2.77,17.857,30
48.229,2.72,10.077,145
50.048,2.6,11.504,140
51.999,2.62,18.699,138
54.31,2.51,56.075,116
55.592,2.56,39.216,114
56.766,2.6,31.372,103
57.881,2.65,33.333,47
59.621,2.74,27.273,33
61.065,2.73,38.298,48
62.433,2.81,34.091,45
63.781,2.88,37.209,47
64.229,2.89,51.219,126
64.958,2.93,31.818,40
67.399,2.99,28,32
68.305,3.07,2.326,61
68.757,3.13,35.714,100
69.213,3.14,3.571,205
69.669,3.19,7.107,201
70.127,3.16,5.759,195
70.583,3.2,8.527,264
71.038,3.18,8.823,206
71.493,3.22,8.865,285
71.947,3.2,7.328,239
72.403,3.23,15.101,308
72.863,3.22,3.361,246
73.321,3.27,6.944,291
